district,population(2011),population
Adilabad,708972,747876
Bhadradri Kothagudem ,1069261,1127936
Hyderabad,3943323,4159709
Jagtial ,985417,1039491
Jangaon ,566376,597455
Jayashankar Bhoopalpally,416763,439632
Jogulamba Gadwal ,609990,643463
Kamareddy ,972625,1025997
Karimnagar ,1005711,1060898
Khammam,1401639,1478552
Komaram Bheem Asifabad,515812,544117
Mahabubabad ,774549,817052
Mahbubnagar,919903,970382
Mancherial,807037,851322
Medak ,767428,809540
Medchal ,2440073,2573969
Mulugu,257744,271887
Nagarkurnool ,893308,942327
Nalgonda,1618416,1707225
Narayanapet,566874,597981
Nirmal,709418,748347
Nizamabad,1571022,1657230
Peddapalli,795332,838975
Rajanna Sircilla ,552037,582329
Ranga Reddy,2446265,2580501
Sangareddy ,1527628,1611455
Siddipet,1012065,1067601
Suryapet,1099560,1159897
Vikarabad,927140,978016
Wanaparthy ,577758,609462
Warangal (Rural),"6,68,324",704998
Warangal (Urban),50213,52968
Yadadri Bhongir,739448,780024
